#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>1minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01
#                                     omni_hro_5min_20120701_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. Magnitude of avg. field vector (nT) (last currently-available OMNI B-field data Nov 20, 2023)
#  3. Bx (nT), GSE
#  4. By (nT), GSE
#  5. Bz (nT), GSE
#  6. Flow Speed (km/s), GSE
#  7. Proton density (n/cc) (last currently-available OMNI plasma data Nov 20, 2023)
#  8. Temperature (K)
#  9. Plasma beta
#       NOTES:  Derived parameters are obtained from the following equations. Plasma beta = [(T*4.16/10**5) + 5.34] * Np / B**2 (B in nT)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,MAG_AVG_B-VECTOR_nT,BX__GSE_nT,BY__GSE_nT,BZ__GSE_nT,FLOW_SPEED__GSE_km/s,PROTON_DENSITY_n/cc,TEMPERATURE_K,PLASMA_BETA_
2012-07-14T00:00:00.000Z,4.02000,-3.65000,1.44000,-0.770000,325.700,3.00000,11312.0,1.08000
2012-07-14T00:05:00.000Z,4.01000,-3.66000,1.42000,-0.850000,325.800,2.94000,11875.0,1.07000
2012-07-14T00:10:00.000Z,4.00000,-3.62000,1.48000,-0.850000,99999.9,999.990,1.00000e+07,999.990
2012-07-14T00:15:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,999.990
2012-07-14T00:20:00.000Z,4.04000,-3.62000,1.58000,-0.820000,325.200,3.02000,9378.00,1.06000
2012-07-14T00:25:00.000Z,3.98000,-3.62000,1.47000,-0.680000,324.700,3.01000,9243.00,1.10000
2012-07-14T00:30:00.000Z,3.99000,-3.63000,1.57000,-0.560000,326.600,3.07000,11379.0,1.12000
2012-07-14T00:35:00.000Z,4.17000,-3.47000,1.05000,-1.83000,329.900,3.04000,10587.0,1.02000
2012-07-14T00:40:00.000Z,4.11000,-3.61000,1.39000,-1.35000,326.400,3.08000,13570.0,1.07000
2012-07-14T00:45:00.000Z,4.18000,-3.74000,1.09000,-1.50000,325.100,2.87000,11961.0,0.960000
2012-07-14T00:50:00.000Z,4.11000,-3.74000,0.900000,-1.39000,324.300,3.02000,11036.0,1.04000
2012-07-14T00:55:00.000Z,3.92000,-3.72000,0.730000,-0.660000,321.400,2.93000,11096.0,1.11000
2012-07-14T01:00:00.000Z,4.00000,-3.72000,1.13000,0.860000,325.800,3.05000,10578.0,1.10000
2012-07-14T01:05:00.000Z,4.00000,-3.65000,1.14000,1.14000,327.100,3.09000,9903.00,1.11000
2012-07-14T01:10:00.000Z,3.98000,-3.67000,1.06000,0.820000,326.200,3.07000,11906.0,1.13000
2012-07-14T01:15:00.000Z,3.99000,-3.64000,1.60000,-0.200000,326.600,3.03000,10718.0,1.09000
2012-07-14T01:20:00.000Z,3.98000,-3.65000,1.56000,0.0900000,324.500,2.97000,10945.0,1.09000
2012-07-14T01:25:00.000Z,3.99000,-3.67000,1.50000,0.320000,324.600,2.96000,11713.0,1.09000
2012-07-14T01:30:00.000Z,4.02000,-3.67000,1.62000,0.210000,323.700,2.91000,9651.00,1.02000
2012-07-14T01:35:00.000Z,4.06000,-3.72000,1.61000,0.270000,325.200,3.00000,11109.0,1.05000
2012-07-14T01:40:00.000Z,4.03000,-3.61000,1.75000,0.360000,325.600,3.03000,11219.0,1.09000
2012-07-14T01:45:00.000Z,3.99000,-3.39000,2.08000,0.0900000,326.100,3.30000,12418.0,1.21000
2012-07-14T01:50:00.000Z,4.02000,-3.41000,2.10000,0.200000,324.400,3.19000,10686.0,1.12000
2012-07-14T01:55:00.000Z,4.03000,-3.42000,2.07000,0.410000,326.900,3.29000,11186.0,1.18000
2012-07-14T02:00:00.000Z,4.04000,-3.12000,2.32000,0.990000,329.800,3.36000,14601.0,1.23000
2012-07-14T02:05:00.000Z,4.08000,-3.20000,2.36000,0.810000,327.700,3.12000,11059.0,1.08000
2012-07-14T02:10:00.000Z,3.93000,-3.05000,1.16000,1.99000,326.800,3.58000,12394.0,1.37000
2012-07-14T02:15:00.000Z,3.70000,-2.35000,1.12000,2.58000,331.100,4.31000,16502.0,1.91000
2012-07-14T02:20:00.000Z,3.78000,-2.69000,1.06000,2.36000,329.600,4.53000,15784.0,1.91000
2012-07-14T02:25:00.000Z,3.87000,-2.14000,0.580000,3.08000,333.400,4.25000,11651.0,1.66000
2012-07-14T02:30:00.000Z,3.93000,-1.34000,0.220000,3.57000,339.700,4.56000,13591.0,1.74000
2012-07-14T02:35:00.000Z,3.76000,-0.670000,1.02000,3.50000,346.700,3.76000,12062.0,1.54000
